"seg.group","chromosome","n_segments","total_bp","mean_length","median_length","sd_length","min_length","q25_length","q75_length","max_length","mean_meth","median_meth","sd_meth","min_meth","q25_meth","q75_meth","max_meth","cv_meth","largest_segment","smallest_segment","prop_genome"
1,"NC_059453.1",35,684931,19569.4571,3022,41241.0055,93,1795,18167,210223,0.3762,0.3561,0.2697,0,0.1311,0.583,0.8312,0.7169,210223,93,0.0068
2,"NC_059453.1",22,100344098,4561095.3636,1331737,8305224.3787,3900,151804.75,4570709,35699177,0.9101,0.9142,0.0253,0.8652,0.8988,0.923,0.9519,0.0278,35699177,3900,0.9932
1,"NC_059454.1",27,1963649,72727.7407,37963,135448.2077,143,1046,101562.5,691064,0.3859,0.4128,0.2201,0,0.2146,0.5492,0.7564,0.5703,691064,143,0.0173
2,"NC_059454.1",24,111742419,4655934.125,609225.5,7446627.9307,533,10256.5,5598506.75,29255694,0.9109,0.9176,0.0387,0.8345,0.8799,0.946,0.9594,0.0425,29255694,533,0.9827
1,"NC_059455.1",5,33640,6728,1471,12194.4166,162,1252,2254,28501,0.015,0.009,0.0148,0,0.0056,0.0246,0.0358,0.9848,28501,162,3e-04
2,"NC_059455.1",30,2166557,72218.5667,14521.5,124616.6325,123,4427,71832,456621,0.5092,0.5316,0.1953,0.1228,0.3779,0.6671,0.8441,0.3835,456621,123,0.0214
3,"NC_059455.1",22,99026527,4501205.7727,3209077.5,4776708.5863,9320,778773,5805393.75,15083947,0.9271,0.929,0.022,0.8798,0.9169,0.9402,0.9602,0.0237,15083947,9320,0.9783
1,"NC_059456.1",29,848333,29252.8621,1564,48419.6919,145,432,48384,191341,0.4317,0.4469,0.2405,0.0252,0.2546,0.6797,0.7938,0.5572,191341,145,0.0077
2,"NC_059456.1",18,108703899,6039105.5,5999908.5,4124246.0913,204205,1998332.5,9085913.5,14336751,0.9361,0.9357,0.0165,0.9014,0.9293,0.9487,0.9632,0.0176,14336751,204205,0.9923
1,"NC_059457.1",7,35497,5071,1617,7523.9008,432,980,5123.5,21241,0.0382,0.0113,0.0473,0,0.0062,0.0618,0.1198,1.2383,21241,432,4e-04
2,"NC_059457.1",13,1242179,95552.2308,2689,198505.8993,162,1094,69616,661403,0.5433,0.5945,0.1353,0.3109,0.4373,0.6552,0.6991,0.249,661403,162,0.0131
3,"NC_059457.1",19,93849723,4939459.1053,1750804,7959388.6837,3696,423120,4240196.5,29522599,0.9115,0.9135,0.027,0.8586,0.8961,0.9367,0.9467,0.0296,29522599,3696,0.9866
1,"NC_059458.1",5,86656,17331.2,1824,34554.2423,1066,1700,2934,79132,0.0227,0.014,0.0278,0,0,0.0337,0.0657,1.2236,79132,1066,0.001
2,"NC_059458.1",25,1272288,50891.52,4517,110686.0405,68,2113,37296,513553,0.5127,0.4761,0.1694,0.2209,0.4306,0.6392,0.8297,0.3303,513553,68,0.0147
3,"NC_059458.1",23,85144495,3701934.5652,2108468,5031037.9991,6056,447543.5,4928479,20238300,0.9152,0.9186,0.0195,0.8787,0.9037,0.9284,0.9441,0.0213,20238300,6056,0.9843
1,"NC_059459.1",13,396109,30469.9231,11425,41440.4916,525,1893,57107,134275,0.0918,0.0922,0.0665,0,0.0434,0.1559,0.1773,0.724,134275,525,0.0048
2,"NC_059459.1",35,651234,18606.6857,4821,43126.2022,148,1163,12730.5,230484,0.4715,0.4694,0.0824,0.2918,0.4232,0.5306,0.6253,0.1748,230484,148,0.0078
3,"NC_059459.1",51,81956769,1606995.4706,43760,3633779.6365,104,3594.5,691823,16454084,0.8541,0.8715,0.0874,0.6914,0.7913,0.9285,0.9799,0.1024,16454084,104,0.9874
1,"NC_059460.1",20,692450,34622.5,4774,50443.935,189,753.5,58039,149415,0.4434,0.3811,0.2641,0,0.2327,0.6502,0.8799,0.5957,149415,189,0.0079
2,"NC_059460.1",15,87055413,5803694.2,5816475,5525921.4947,2140,1091908.5,8239942.5,18031966,0.9388,0.9365,0.0153,0.9176,0.9259,0.9477,0.973,0.0163,18031966,2140,0.9921
1,"NC_059461.1",11,1077590,97962.7273,41949,119553.0088,395,1603.5,181532,311979,0.3513,0.4065,0.2153,0,0.1963,0.5104,0.6082,0.613,311979,395,0.0113
2,"NC_059461.1",12,94670413,7889201.0833,8260139,7006725.922,4530,1491614.75,11486718.75,21840687,0.933,0.9377,0.0153,0.9003,0.9227,0.943,0.9513,0.0164,21840687,4530,0.9887
1,"NC_059462.1",14,637754,45553.8571,3496.5,73499.0566,94,1598.75,66534.75,253306,0.4322,0.4768,0.2767,0.0123,0.1802,0.6773,0.8545,0.6403,253306,94,0.0107
2,"NC_059462.1",13,58807192,4523630.1538,2293541,6002822.6639,7102,132124,6475859,17358329,0.9323,0.9396,0.0175,0.8994,0.9202,0.9428,0.9566,0.0187,17358329,7102,0.9893
1,"NC_059463.1",23,602860,26211.3043,417,49847.2886,126,254,33986.5,172951,0.3895,0.4192,0.1997,0,0.2453,0.5532,0.7494,0.5126,172951,126,0.0095
2,"NC_059463.1",24,62709424,2612892.6667,580510,3168205.0691,430,3452,5318166,9869433,0.9027,0.904,0.0438,0.8098,0.8775,0.941,0.9585,0.0485,9869433,430,0.9905
1,"NC_059464.1",25,1438158,57526.32,2536,160493.9031,177,593,30119,787451,0.5614,0.6017,0.1875,0,0.4993,0.6435,0.8654,0.3339,787451,177,0.0276
2,"NC_059464.1",20,50614313,2530715.65,1087172,3697826.6231,212,58144.5,2911616.5,13210928,0.9225,0.9206,0.0187,0.8826,0.912,0.9334,0.9581,0.0202,13210928,212,0.9724
1,"NC_059465.1",9,326690,36298.8889,14421,53386.0544,305,1274,49293,160178,0.3488,0.3719,0.1656,0.0626,0.2368,0.4232,0.5994,0.4749,160178,305,0.0067
2,"NC_059465.1",10,48745465,4874546.5,3649495,4586658.4567,2329,867016.5,9706357.25,11049280,0.9296,0.9348,0.0228,0.8897,0.9185,0.9467,0.9533,0.0245,11049280,2329,0.9933
1,"NC_059466.1",5,429080,85816,1420,187026.4891,383,1156,5763,420358,0.2666,0.298,0.0634,0.1913,0.2059,0.307,0.3309,0.238,420358,383,0.008
2,"NC_059466.1",4,129851,32462.75,31919,23887.4258,7642,14930.5,49451.25,58371,0.52,0.5019,0.1236,0.3909,0.4565,0.5654,0.6856,0.2377,58371,7642,0.0024
3,"NC_059466.1",5,102160,20432,3647,37756.9213,1283,2361,7005,87864,0.857,0.8579,0.0245,0.8254,0.8404,0.8788,0.8827,0.0286,87864,1283,0.0019
4,"NC_059466.1",5,53298728,10659745.6,2050087,15794541.0056,683027,923265,12008724,37633625,0.9382,0.9384,0.005,0.9318,0.9349,0.9426,0.9435,0.0053,37633625,683027,0.9877
1,"NC_059467.1",6,10038,1673,1264,1235.0498,581,833,2103,3857,0.0082,0.0062,0.0093,0,0,0.016,0.0197,1.1321,3857,581,2e-04
2,"NC_059467.1",21,630066,30003.1429,3447,61159.6975,89,1057,24318,218658,0.4099,0.3986,0.1626,0.1048,0.2975,0.5156,0.6857,0.3967,218658,89,0.0115
3,"NC_059467.1",28,54376262,1942009.3571,901781,2314075.4377,319,21096.5,3485403,7050252,0.9085,0.9109,0.0383,0.8219,0.8835,0.9307,0.9774,0.0422,7050252,319,0.9884
1,"NC_059468.1",13,377996,29076.6154,992,63726.2598,143,448,11112,180384,0.4256,0.5118,0.1928,0.1204,0.243,0.5339,0.6684,0.453,180384,143,0.0084
2,"NC_059468.1",14,44464742,3176053,414706.5,5033697.2147,2149,11167.75,4823455.25,14893741,0.901,0.9048,0.04,0.8308,0.88,0.9252,0.9719,0.0444,14893741,2149,0.9916
1,"NC_059469.1",1,138018,138018,138018,NA,138018,138018,138018,138018,0.314,0.314,NA,0.314,0.314,0.314,0.314,NA,138018,138018,0.0033
2,"NC_059469.1",1,2278,2278,2278,NA,2278,2278,2278,2278,0.5176,0.5176,NA,0.5176,0.5176,0.5176,0.5176,NA,2278,2278,1e-04
3,"NC_059469.1",1,278237,278237,278237,NA,278237,278237,278237,278237,0.9138,0.9138,NA,0.9138,0.9138,0.9138,0.9138,NA,278237,278237,0.0067
4,"NC_059469.1",2,40864304,20432152,20432152,1411602.9241,19433998,19933075,20931229,21430306,0.9363,0.9363,4e-04,0.936,0.9362,0.9364,0.9366,4e-04,21430306,19433998,0.9899
1,"NC_059470.1",1,47308,47308,47308,NA,47308,47308,47308,47308,0.0042,0.0042,NA,0.0042,0.0042,0.0042,0.0042,NA,47308,47308,0.0011
2,"NC_059470.1",2,5629,2814.5,2814.5,3621.0938,254,1534.25,4094.75,5375,0.1723,0.1723,0.0016,0.1712,0.1718,0.1729,0.1735,0.0094,5375,254,1e-04
3,"NC_059470.1",1,116,116,116,NA,116,116,116,116,0.2863,0.2863,NA,0.2863,0.2863,0.2863,0.2863,NA,116,116,0
4,"NC_059470.1",1,661574,661574,661574,NA,661574,661574,661574,661574,0.4247,0.4247,NA,0.4247,0.4247,0.4247,0.4247,NA,661574,661574,0.0155
5,"NC_059470.1",1,26155,26155,26155,NA,26155,26155,26155,26155,0.8439,0.8439,NA,0.8439,0.8439,0.8439,0.8439,NA,26155,26155,6e-04
6,"NC_059470.1",1,4530665,4530665,4530665,NA,4530665,4530665,4530665,4530665,0.8808,0.8808,NA,0.8808,0.8808,0.8808,0.8808,NA,4530665,4530665,0.106
7,"NC_059470.1",1,762340,762340,762340,NA,762340,762340,762340,762340,0.8893,0.8893,NA,0.8893,0.8893,0.8893,0.8893,NA,762340,762340,0.0178
8,"NC_059470.1",2,36703825,18351912.5,18351912.5,25933942.352,13846,9182879.25,27520945.75,36689979,0.9282,0.9282,0.0036,0.9256,0.9269,0.9294,0.9307,0.0039,36689979,13846,0.8588
