"seg.group","chromosome","n_segments","total_bp","mean_length","median_length","sd_length","min_length","q25_length","q75_length","max_length","mean_meth","median_meth","sd_meth","min_meth","q25_meth","q75_meth","max_meth","cv_meth","largest_segment","smallest_segment","prop_genome"
1,"NC_059448.1",22,965138,43869.9091,20809,58565.3588,214,2855.25,59162.75,231592,0.2934,0.2743,0.1955,0.0401,0.1296,0.4536,0.6841,0.6661,231592,214,0.0141
2,"NC_059448.1",23,67462067,2933133.3478,1328938,3685473.3652,564,240078,4480180,13208738,0.8815,0.8838,0.0278,0.8279,0.8636,0.8962,0.9361,0.0315,13208738,564,0.9859
1,"NC_059449.1",63,1049561,16659.6984,2771,46868.1486,198,917.5,6829,278379,0.4174,0.3941,0.2131,0.0103,0.2811,0.5877,0.8062,0.5105,278379,198,0.0373
2,"NC_059449.1",22,27118343,1232651.9545,216565.5,2481777.231,4775,76532.75,476718.25,7611185,0.8783,0.8856,0.0226,0.8345,0.8632,0.8953,0.909,0.0258,7611185,4775,0.9627
1,"NC_059450.1",26,1651345,63513.2692,38846.5,76192.8838,103,2603.5,95278,303943,0.4211,0.4792,0.2043,0.0039,0.2904,0.5705,0.7162,0.4851,303943,103,0.0103
2,"NC_059450.1",26,158807825,6107993.2692,4050108,6548995.6902,10376,1155578.5,8789704.25,21988428,0.8982,0.9027,0.0202,0.847,0.8881,0.9111,0.9408,0.0225,21988428,10376,0.9897
1,"NC_059451.1",19,1011869,53256.2632,23736,70220.7682,181,3559.5,62838.5,234093,0.4868,0.4997,0.2222,0.0226,0.3755,0.6457,0.7694,0.4564,234093,181,0.0081
2,"NC_059451.1",18,124312873,6906270.7222,4387858.5,7467552.2997,529,1671006.25,8062673,27921516,0.9064,0.9085,0.0199,0.8647,0.8964,0.917,0.9517,0.0219,27921516,529,0.9919
1,"NC_059452.1",30,10377447,345914.9,21446,608279.0988,237,4633.25,304459,2005844,0.5668,0.6135,0.2372,0,0.4833,0.7261,0.862,0.4184,2005844,237,0.0942
2,"NC_059452.1",17,99839048,5872885.1765,2805547,6605157.5842,17078,1169767,8101472,21163526,0.9027,0.9046,0.0145,0.8728,0.8941,0.913,0.9333,0.0161,21163526,17078,0.9058
1,"NC_059453.1",39,972963,24947.7692,2929,50887.1358,93,1795,18733,214147,0.3981,0.392,0.2485,0.0088,0.1578,0.5828,0.814,0.6241,214147,93,0.0097
2,"NC_059453.1",26,99824446,3839401.7692,1124603.5,7691035.3744,3900,193821.75,4205948.5,35699177,0.8866,0.8926,0.03,0.8202,0.8655,0.9096,0.9336,0.0339,35699177,3900,0.9903
1,"NC_059454.1",30,1940468,64682.2667,15164,130521.915,143,993.25,87897.75,691064,0.4318,0.4367,0.2176,0.0582,0.2659,0.6246,0.7971,0.5039,691064,143,0.0171
2,"NC_059454.1",23,111754024,4858870.6087,341195,7931949.6547,533,12620,6770330,29255694,0.8915,0.8956,0.0255,0.8368,0.8802,0.9114,0.9254,0.0286,29255694,533,0.9829
1,"NC_059455.1",34,2748073,80825.6765,12298.5,132006.7453,123,2268.5,115146.25,447748,0.4287,0.4425,0.2411,0.0091,0.2756,0.6182,0.8179,0.5624,447748,123,0.0272
2,"NC_059455.1",25,98211778,3928471.12,3229680,4145924.1512,9320,724586,5334735,15083935,0.8996,0.9043,0.0213,0.8585,0.8922,0.9141,0.9309,0.0237,15083935,9320,0.9728
1,"NC_059456.1",31,6203500,200112.9032,2985,911710.8561,166,540.5,58277,5102874,0.4489,0.468,0.2399,0.0518,0.2619,0.6673,0.87,0.5343,5102874,166,0.0566
2,"NC_059456.1",18,103318180,5739898.8889,5800439.5,4017238.0395,204205,1998332.5,8356828.75,14336751,0.9102,0.9095,0.0103,0.8947,0.9032,0.9165,0.9311,0.0113,14336751,204205,0.9434
1,"NC_059457.1",7,35471,5067.2857,1617,7525.2399,432,980,5110.5,21241,0.0717,0.0772,0.0455,0.0121,0.0355,0.104,0.1333,0.6345,21241,432,4e-04
2,"NC_059457.1",13,1191461,91650.8462,2663,214855.8589,162,1094,10812,721796,0.5275,0.5951,0.1231,0.3148,0.4446,0.6189,0.6897,0.2333,721796,162,0.0125
3,"NC_059457.1",19,93980217,4946327.2105,943456,11283901.5199,3696,423120,3353506,49255608,0.8866,0.8902,0.0253,0.8371,0.8728,0.9069,0.9227,0.0285,49255608,3696,0.9871
1,"NC_059458.1",31,2560690,82602.9032,4532,149141.8508,46,1905.5,85118,524573,0.4184,0.4351,0.224,0.0051,0.3045,0.535,0.824,0.5354,524573,46,0.0296
2,"NC_059458.1",26,83893646,3226678.6923,1820313.5,4338343.1936,6056,437218.25,4875723.75,20246811,0.8902,0.8905,0.0206,0.8505,0.8778,0.9093,0.9232,0.0231,20246811,6056,0.9704
1,"NC_059459.1",14,396506,28321.8571,11355,40617.8761,397,1310.25,46269.25,134275,0.1228,0.1287,0.0807,0.0043,0.0745,0.1758,0.2697,0.6575,134275,397,0.0048
2,"NC_059459.1",37,820220,22168.1081,2831,59956.521,148,1595,15449,351830,0.4699,0.4716,0.0774,0.3005,0.4132,0.5265,0.6332,0.1647,351830,148,0.0099
3,"NC_059459.1",54,81886763,1516421.537,82266.5,3533706.4796,87,4053,626033,16454084,0.8355,0.8484,0.0767,0.6502,0.7962,0.9027,0.9545,0.0918,16454084,87,0.9854
1,"NC_059460.1",19,782047,41160.3684,7171,60334.9666,189,1304.5,59920.5,204373,0.3936,0.3792,0.2064,0.0055,0.2478,0.581,0.7029,0.5244,204373,189,0.0089
2,"NC_059460.1",20,86829723,4341486.15,5090551.5,3778790.3272,4622,662832.75,6990813.5,12351875,0.9077,0.9137,0.0215,0.8522,0.9002,0.9175,0.9418,0.0236,12351875,4622,0.9911
1,"NC_059461.1",16,1825850,114115.625,65129.5,146210.9278,395,5210,163412.5,524300,0.4203,0.4211,0.2295,0.0859,0.2749,0.5538,0.8442,0.5461,524300,395,0.0191
2,"NC_059461.1",15,93878973,6258598.2,4334584,5994583.4911,4530,1189578,10127942.5,18350841,0.9121,0.9118,0.0121,0.884,0.9082,0.918,0.9387,0.0133,18350841,4530,0.9809
1,"NC_059462.1",14,708160,50582.8571,21548.5,71881.6929,94,1568,67536.25,253306,0.4158,0.4205,0.2423,0.0214,0.2325,0.594,0.8344,0.5828,253306,94,0.0119
2,"NC_059462.1",13,58760674,4520051.8462,2319374,5494950.5308,7102,1593060,6475859,16815209,0.9007,0.8968,0.0144,0.8747,0.8908,0.9122,0.9254,0.016,16815209,7102,0.9881
1,"NC_059463.1",22,618021,28091.8636,400.5,51272.2025,126,220.75,34422.75,172951,0.3746,0.3724,0.1946,0.0087,0.2408,0.4894,0.6994,0.5194,172951,126,0.0098
2,"NC_059463.1",23,62765246,2728923.7391,251172,3884307.0804,430,2659.5,4496758,14729530,0.8808,0.8808,0.038,0.7998,0.8626,0.9102,0.9278,0.0432,14729530,430,0.9902
1,"NC_059464.1",27,1533122,56782.2963,2887,154700.1273,208,757.5,52412,787451,0.5626,0.5821,0.1755,0.0046,0.4861,0.6338,0.8578,0.312,787451,208,0.0295
2,"NC_059464.1",20,50486229,2524311.45,1087172,3669438.2979,212,76166.75,2910974.5,13210927,0.9011,0.9038,0.0141,0.8695,0.8925,0.9072,0.9328,0.0157,13210927,212,0.9705
1,"NC_059465.1",10,309633,30963.3,7924,51229.6057,305,1049,29222.75,160178,0.385,0.3838,0.1891,0.0748,0.2626,0.5117,0.7006,0.4911,160178,305,0.0063
2,"NC_059465.1",11,48735007,4430455.1818,3233308,4561013.0534,2329,479964,8795389.5,11049280,0.8966,0.9073,0.0283,0.8328,0.8869,0.9158,0.9243,0.0315,11049280,2329,0.9937
1,"NC_059466.1",11,631897,57445.1818,7643,124479.8485,291,1288,35272.5,420358,0.4652,0.3934,0.1871,0.2432,0.3183,0.6031,0.7489,0.4023,420358,291,0.0117
2,"NC_059466.1",12,53181176,4431764.6667,803146,8761022.293,1284,6156.25,4671305.25,30845328,0.8855,0.8993,0.0329,0.8234,0.8558,0.9141,0.9194,0.0372,30845328,1284,0.9883
1,"NC_059467.1",25,637795,25511.8,2288,56781.6416,119,1282,11952,218658,0.3183,0.336,0.2067,0.0041,0.1652,0.4693,0.6965,0.6494,218658,119,0.0116
2,"NC_059467.1",24,54471877,2269661.5417,1098116.5,2698915.0328,1622,59627.75,3681142,9522259,0.8725,0.8747,0.0376,0.7909,0.8453,0.9002,0.9261,0.0431,9522259,1622,0.9884
1,"NC_059468.1",15,267710,17847.3333,4488,45437.7535,183,855.5,12684.5,180384,0.5335,0.5809,0.2234,0.1443,0.3723,0.6884,0.8276,0.4188,180384,183,0.006
2,"NC_059468.1",10,44667660,4466766,1454549.5,6008393.4613,2149,116271.5,5797087.5,16680423,0.8894,0.8988,0.02,0.8578,0.8703,0.9025,0.9162,0.0224,16680423,2149,0.994
1,"NC_059469.1",1,288026,288026,288026,NA,288026,288026,288026,288026,0.4505,0.4505,NA,0.4505,0.4505,0.4505,0.4505,NA,288026,288026,0.007
2,"NC_059469.1",2,273400,136700,136700,190180.6114,2222,69461,203939,271178,0.5259,0.5259,5e-04,0.5256,0.5257,0.5261,0.5263,9e-04,271178,2222,0.0066
3,"NC_059469.1",1,769574,769574,769574,NA,769574,769574,769574,769574,0.6293,0.6293,NA,0.6293,0.6293,0.6293,0.6293,NA,769574,769574,0.0186
4,"NC_059469.1",1,278528,278528,278528,NA,278528,278528,278528,278528,0.8902,0.8902,NA,0.8902,0.8902,0.8902,0.8902,NA,278528,278528,0.0067
5,"NC_059469.1",2,33294234,16647117,16647117,4088840.7196,13755870,15201493.5,18092740.5,19538364,0.9072,0.9072,0.0013,0.9063,0.9067,0.9076,0.9081,0.0014,19538364,13755870,0.8041
6,"NC_059469.1",1,4567531,4567531,4567531,NA,4567531,4567531,4567531,4567531,0.9115,0.9115,NA,0.9115,0.9115,0.9115,0.9115,NA,4567531,4567531,0.1103
7,"NC_059469.1",1,1936564,1936564,1936564,NA,1936564,1936564,1936564,1936564,0.9312,0.9312,NA,0.9312,0.9312,0.9312,0.9312,NA,1936564,1936564,0.0468
1,"NC_059470.1",1,47308,47308,47308,NA,47308,47308,47308,47308,0.0048,0.0048,NA,0.0048,0.0048,0.0048,0.0048,NA,47308,47308,0.0011
2,"NC_059470.1",1,254,254,254,NA,254,254,254,254,0.1628,0.1628,NA,0.1628,0.1628,0.1628,0.1628,NA,254,254,0
3,"NC_059470.1",1,5375,5375,5375,NA,5375,5375,5375,5375,0.1894,0.1894,NA,0.1894,0.1894,0.1894,0.1894,NA,5375,5375,1e-04
4,"NC_059470.1",1,116,116,116,NA,116,116,116,116,0.2807,0.2807,NA,0.2807,0.2807,0.2807,0.2807,NA,116,116,0
5,"NC_059470.1",1,661574,661574,661574,NA,661574,661574,661574,661574,0.4118,0.4118,NA,0.4118,0.4118,0.4118,0.4118,NA,661574,661574,0.0155
6,"NC_059470.1",1,26155,26155,26155,NA,26155,26155,26155,26155,0.8265,0.8265,NA,0.8265,0.8265,0.8265,0.8265,NA,26155,26155,6e-04
7,"NC_059470.1",1,4530665,4530665,4530665,NA,4530665,4530665,4530665,4530665,0.8632,0.8632,NA,0.8632,0.8632,0.8632,0.8632,NA,4530665,4530665,0.106
8,"NC_059470.1",1,762340,762340,762340,NA,762340,762340,762340,762340,0.8673,0.8673,NA,0.8673,0.8673,0.8673,0.8673,NA,762340,762340,0.0178
9,"NC_059470.1",2,36703825,18351912.5,18351912.5,25933942.352,13846,9182879.25,27520945.75,36689979,0.9024,0.9024,0.0028,0.9004,0.9014,0.9034,0.9044,0.0031,36689979,13846,0.8588
