"seg.group","chromosome","n_segments","total_bp","mean_length","median_length","sd_length","min_length","q25_length","q75_length","max_length","mean_meth","median_meth","sd_meth","min_meth","q25_meth","q75_meth","max_meth","cv_meth","largest_segment","smallest_segment","prop_genome"
2,"NC_059446.1",28,88267442,3152408.6429,1166180,6085665.7068,3055,411422.5,2405895.75,31167860,0.895,0.8994,0.0189,0.8538,0.881,0.9076,0.9314,0.0211,31167860,3055,0.9629
1,"NC_059447.1",16,782604,48912.75,36762,49774.4034,947,5164.25,68764.75,148506,0.2428,0.2402,0.1804,0.006,0.0696,0.3525,0.6015,0.743,148506,947,0.0082
2,"NC_059447.1",17,94494387,5558493.3529,4031678,6642818.0995,45337,1830623,6133288,27620602,0.9026,0.9055,0.0204,0.865,0.8982,0.9109,0.9498,0.0226,27620602,45337,0.9918
1,"NC_059448.1",22,1216362,55289.1818,14590.5,83323.0739,214,2855.25,82755.5,321187,0.2929,0.2871,0.1927,0.0388,0.1381,0.4431,0.6393,0.658,321187,214,0.0178
2,"NC_059448.1",23,67222235,2922705.8696,1007264,4379361.0832,564,212700.5,3079837,16654921,0.8914,0.8932,0.0281,0.8285,0.8739,0.9079,0.9395,0.0315,16654921,564,0.9822
1,"NC_059449.1",61,1069034,17525.1475,2595,52120.8565,198,956,7466,326098,0.4256,0.4213,0.2095,0.0097,0.321,0.58,0.8161,0.4921,326098,198,0.0379
2,"NC_059449.1",24,27117062,1129877.5833,216565.5,2179057.3395,4775,61347.25,552702.25,7611185,0.8904,0.8988,0.0238,0.8437,0.8785,0.9047,0.9345,0.0268,7611185,4775,0.9621
1,"NC_059450.1",25,1701135,68045.4,48807,80035.6522,103,1779,103352,303943,0.41,0.4583,0.2187,0.0045,0.2799,0.5605,0.8511,0.5335,303943,103,0.0106
2,"NC_059450.1",23,158818312,6905144,6056210,5943101.9265,34490,2196093.5,9846493.5,21163880,0.9091,0.9112,0.0148,0.8728,0.9001,0.9191,0.9448,0.0163,21163880,34490,0.9894
1,"NC_059451.1",19,3315983,174525.4211,44014,379634.0284,51,3559.5,94711.5,1420715,0.5084,0.5101,0.2614,0.0192,0.2938,0.6805,0.8798,0.5141,1420715,51,0.0265
2,"NC_059451.1",14,122002177,8714441.2143,6253847,8208715.7727,399396,3077367,10799186.75,28827957,0.9171,0.9166,0.0089,0.9007,0.9121,0.9242,0.9297,0.0097,28827957,399396,0.9735
1,"NC_059452.1",24,11317980,471582.5,32168,1144148.1323,237,4413.75,260309,5295728,0.5439,0.5869,0.2492,0,0.4698,0.7121,0.8611,0.4582,5295728,237,0.1026
2,"NC_059452.1",15,98998273,6599884.8667,2805547,7103137.5759,17078,1100521.5,9426631,21163526,0.907,0.9103,0.0159,0.8751,0.8992,0.9179,0.9252,0.0176,21163526,17078,0.8974
1,"NC_059453.1",39,1048292,26879.2821,3780,51412.4947,93,2040,28067,214147,0.4093,0.4471,0.2531,0.0099,0.1513,0.5922,0.8171,0.6183,214147,93,0.0104
2,"NC_059453.1",26,99681421,3833900.8077,1124603.5,7718430.0514,317,151804.75,4205936.5,35699177,0.8967,0.898,0.0272,0.8478,0.8859,0.917,0.9413,0.0303,35699177,317,0.9896
1,"NC_059454.1",26,1919294,73819,38099,138213.3187,143,1167.25,108583.25,691064,0.4127,0.424,0.2274,0.0393,0.197,0.6123,0.8209,0.551,691064,143,0.0169
2,"NC_059454.1",21,111793729,5323510.9048,877256,8162773.6778,533,15633,9114113,29255694,0.8966,0.8998,0.027,0.8442,0.8823,0.9186,0.9324,0.0301,29255694,533,0.9831
1,"NC_059455.1",35,2250588,64302.5143,12132,113909.4541,123,2283,87285.5,447748,0.4358,0.4519,0.2516,0.0079,0.2504,0.6247,0.8336,0.5772,447748,123,0.0222
2,"NC_059455.1",22,98953442,4497883.7273,3292077,4663046.8442,9320,778773,6865490,15776966,0.9051,0.9074,0.0204,0.8689,0.8967,0.9194,0.9371,0.0226,15776966,9320,0.9778
1,"NC_059456.1",30,939373,31312.4333,2274.5,48857.2606,166,510.75,49295.25,191341,0.4404,0.4613,0.2332,0.0495,0.2581,0.6551,0.7907,0.5296,191341,166,0.0086
2,"NC_059456.1",19,108467829,5708833.1053,5809226,3648609.5696,204205,2074443,8935599,11803047,0.9129,0.9123,0.0123,0.8846,0.9051,0.9217,0.935,0.0135,11803047,204205,0.9914
1,"NC_059457.1",21,1343149,63959.4762,2664,171800.0889,162,1094,10844,721796,0.3913,0.4176,0.26,0.0122,0.1069,0.6086,0.7448,0.6645,721796,162,0.0141
2,"NC_059457.1",20,93840716,4692035.8,1344385.5,7765995.8615,3696,452079,3809057.25,29522593,0.8948,0.8978,0.0237,0.8471,0.8837,0.9154,0.9274,0.0265,29522593,3696,0.9859
1,"NC_059458.1",5,86656,17331.2,1824,34554.2423,1066,1700,2934,79132,0.0302,0.0247,0.0251,0.0056,0.0106,0.0436,0.0665,0.8309,79132,1066,0.001
2,"NC_059458.1",25,2021388,80855.52,4844,155504.4156,90,2975,59831,524573,0.5204,0.492,0.1686,0.2264,0.4295,0.6448,0.8352,0.3241,524573,90,0.0234
3,"NC_059458.1",23,84398869,3669516.0435,2108468,4943137.5132,6056,329012,4906647.5,20246811,0.8991,0.9007,0.0164,0.8701,0.8882,0.9096,0.925,0.0182,20246811,6056,0.9756
1,"NC_059459.1",13,396109,30469.9231,11425,41440.4916,525,1893,57107,134275,0.1035,0.1164,0.0671,0.0048,0.0634,0.164,0.199,0.6484,134275,525,0.0048
2,"NC_059459.1",39,771463,19781.1026,3952,58483.0685,148,980.5,11057.5,351851,0.4846,0.4723,0.0796,0.3042,0.4298,0.5511,0.6305,0.1642,351851,148,0.0093
3,"NC_059459.1",51,81927256,1606416.7843,52099,3621472.9353,81,4920,690057,16454084,0.8451,0.865,0.0786,0.6877,0.8066,0.9103,0.9558,0.093,16454084,81,0.9859
1,"NC_059460.1",21,896800,42704.7619,5082,61559.8187,189,754,76453,204373,0.4409,0.3816,0.2531,0.0049,0.271,0.645,0.8734,0.574,204373,189,0.0102
2,"NC_059460.1",16,86853528,5428345.5,5946283,4936950.2775,4622,1216096.75,7072506.5,18031966,0.9192,0.9197,0.0131,0.8982,0.9124,0.9249,0.9442,0.0142,18031966,4622,0.9898
1,"NC_059461.1",15,1319204,87946.9333,47764,102778.4279,395,5154,116660.5,311979,0.3958,0.4126,0.2101,0.0912,0.2416,0.5655,0.7795,0.5307,311979,395,0.0138
2,"NC_059461.1",16,94338987,5896186.6875,4598284.5,5008388.2746,4530,2258335.25,7483607,18350841,0.9158,0.9177,0.0155,0.8786,0.9109,0.9239,0.9471,0.017,18350841,4530,0.9862
1,"NC_059462.1",15,725926,48395.0667,24567,69768.0032,94,1641.5,61662.5,253306,0.4326,0.4706,0.2601,0.0221,0.2091,0.6641,0.8476,0.6012,253306,94,0.0122
2,"NC_059462.1",14,58685417,4191815.5,2306457.5,5413842.8112,7102,478650.5,5605936,16815209,0.9116,0.9097,0.0131,0.8885,0.905,0.9204,0.9336,0.0144,16815209,7102,0.9878
1,"NC_059463.1",23,618173,26877.087,384,50430.8116,126,224.5,33986.5,172951,0.3934,0.3881,0.2044,0.0084,0.2356,0.5492,0.7469,0.5196,172951,126,0.0098
2,"NC_059463.1",24,62765259,2615219.125,125461,3839456.4127,485,2819.75,4137817.5,14729530,0.8871,0.8921,0.0359,0.808,0.8711,0.9153,0.9314,0.0404,14729530,485,0.9902
1,"NC_059464.1",30,1773045,59101.5,3797.5,147282.184,177,842.75,65180.5,787451,0.5927,0.6198,0.1791,0.0056,0.5103,0.6814,0.8698,0.3021,787451,177,0.0341
2,"NC_059464.1",21,50270552,2393835.8095,1476495,3411881.0491,212,80499,3397164,13210927,0.9092,0.9113,0.0126,0.8832,0.9026,0.9177,0.9348,0.0138,13210927,212,0.9659
1,"NC_059465.1",9,278371,30930.1111,1427,54337.0883,305,974,23105,160178,0.3698,0.3676,0.1922,0.0748,0.2454,0.4312,0.7253,0.5197,160178,305,0.0057
2,"NC_059465.1",10,48784321,4878432.1,4270224,4668694.89,2329,340626.5,9653421.75,11049280,0.9034,0.9115,0.0267,0.8492,0.8906,0.9231,0.9313,0.0295,11049280,2329,0.9943
1,"NC_059466.1",6,453363,75560.5,3699.5,169152.5829,383,1222,19545,420358,0.3085,0.3148,0.0516,0.2414,0.2685,0.3499,0.3653,0.1673,420358,383,0.0084
2,"NC_059466.1",5,72728,14545.6,7643,19125.8354,239,1008,17360,46478,0.6102,0.6546,0.0901,0.4953,0.5318,0.6796,0.6895,0.1476,46478,239,0.0013
3,"NC_059466.1",5,96733,19346.6,2351,38312.7715,1283,1625,3610,87864,0.8561,0.8531,0.0179,0.8353,0.8445,0.8678,0.8799,0.0209,87864,1283,0.0018
4,"NC_059466.1",7,53260841,7608691.5714,1578573,13190254.9378,4402,803146,7029405.5,36012763,0.92,0.9191,0.0045,0.9129,0.9185,0.9222,0.9266,0.0049,36012763,4402,0.9884
1,"NC_059467.1",23,628983,27347.087,1931,58935.822,119,1018.5,18135,218658,0.2924,0.3092,0.1867,0.0041,0.139,0.4098,0.6686,0.6384,218658,119,0.0114
2,"NC_059467.1",24,54485588,2270232.8333,1098116.5,2698922.4822,1622,59627.75,3682498,9522259,0.8831,0.8862,0.0337,0.813,0.8612,0.9103,0.9315,0.0381,9522259,1622,0.9886
1,"NC_059468.1",11,210754,19159.4545,3054,48247.7831,183,824.5,11092,163822,0.4227,0.4831,0.194,0.1395,0.2413,0.5746,0.6652,0.4591,163822,183,0.0047
2,"NC_059468.1",12,44860159,3738346.5833,204864,5790545.9565,2149,9664.5,5667386.5,15578236,0.8824,0.892,0.0322,0.8205,0.8673,0.905,0.9205,0.0365,15578236,2149,0.9953
1,"NC_059469.1",1,138018,138018,138018,NA,138018,138018,138018,138018,0.3346,0.3346,NA,0.3346,0.3346,0.3346,0.3346,NA,138018,138018,0.0033
2,"NC_059469.1",1,2278,2278,2278,NA,2278,2278,2278,2278,0.5191,0.5191,NA,0.5191,0.5191,0.5191,0.5191,NA,2278,2278,1e-04
3,"NC_059469.1",1,271178,271178,271178,NA,271178,271178,271178,271178,0.5329,0.5329,NA,0.5329,0.5329,0.5329,0.5329,NA,271178,271178,0.0066
4,"NC_059469.1",1,769574,769574,769574,NA,769574,769574,769574,769574,0.6459,0.6459,NA,0.6459,0.6459,0.6459,0.6459,NA,769574,769574,0.0187
5,"NC_059469.1",1,278237,278237,278237,NA,278237,278237,278237,278237,0.897,0.897,NA,0.897,0.897,0.897,0.897,NA,278237,278237,0.0067
6,"NC_059469.1",2,33189868,16594934,16594934,4015042.8132,13755870,15175402,18014466,19433998,0.9136,0.9136,5e-04,0.9133,0.9134,0.9138,0.914,6e-04,19433998,13755870,0.8048
7,"NC_059469.1",1,4567531,4567531,4567531,NA,4567531,4567531,4567531,4567531,0.9187,0.9187,NA,0.9187,0.9187,0.9187,0.9187,NA,4567531,4567531,0.1108
8,"NC_059469.1",1,2025047,2025047,2025047,NA,2025047,2025047,2025047,2025047,0.9339,0.9339,NA,0.9339,0.9339,0.9339,0.9339,NA,2025047,2025047,0.0491
1,"NC_059470.1",1,47308,47308,47308,NA,47308,47308,47308,47308,0.0048,0.0048,NA,0.0048,0.0048,0.0048,0.0048,NA,47308,47308,0.0011
2,"NC_059470.1",1,254,254,254,NA,254,254,254,254,0.1748,0.1748,NA,0.1748,0.1748,0.1748,0.1748,NA,254,254,0
3,"NC_059470.1",1,5375,5375,5375,NA,5375,5375,5375,5375,0.1849,0.1849,NA,0.1849,0.1849,0.1849,0.1849,NA,5375,5375,1e-04
4,"NC_059470.1",1,116,116,116,NA,116,116,116,116,0.2889,0.2889,NA,0.2889,0.2889,0.2889,0.2889,NA,116,116,0
5,"NC_059470.1",1,661574,661574,661574,NA,661574,661574,661574,661574,0.4204,0.4204,NA,0.4204,0.4204,0.4204,0.4204,NA,661574,661574,0.0155
6,"NC_059470.1",1,26155,26155,26155,NA,26155,26155,26155,26155,0.8395,0.8395,NA,0.8395,0.8395,0.8395,0.8395,NA,26155,26155,6e-04
7,"NC_059470.1",1,4530665,4530665,4530665,NA,4530665,4530665,4530665,4530665,0.8715,0.8715,NA,0.8715,0.8715,0.8715,0.8715,NA,4530665,4530665,0.106
8,"NC_059470.1",1,762340,762340,762340,NA,762340,762340,762340,762340,0.8732,0.8732,NA,0.8732,0.8732,0.8732,0.8732,NA,762340,762340,0.0178
9,"NC_059470.1",2,36703825,18351912.5,18351912.5,25933942.352,13846,9182879.25,27520945.75,36689979,0.9104,0.9104,0.0044,0.9073,0.9088,0.9119,0.9135,0.0048,36689979,13846,0.8588
